X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-1.391933106,40.842377615,"33602044","11","7","72","21",7.30,7.85,13.04,85.40,"319",0.00,1.60,75.40,D20,U420,ES,ES2,ES24,ES242,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
-1.421406464,41.003102542,"33602062","54","19","45","35",5.70,6.20,4.95,4.00,"0",13.10,0.80,71.80,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.544778506,41.66344662,"33602136",,,,,7.00,7.54,7.08,45.40,"1",12.60,1.00,186.10,B74,U111,ES,ES2,ES24,ES243,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
-1.602678497,41.966627148,"33602170","7","41","13","46",7.60,7.74,242.00,19.20,"206",20.50,2.00,277.00,F40,U112,ES,ES2,ES22,ES220,Bareland,Other bare soil,Fallow land
-1.616415572,42.037943741,"33602178",,,,,7.90,8.48,22.60,16.10,"241",28.80,1.20,572.10,B52,U111,ES,ES2,ES22,ES220,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
-1.647483861,42.19837836,"33602196",,,,,7.50,7.81,50.90,14.00,"342",67.30,2.00,344.20,B16,U111,ES,ES2,ES22,ES220,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-1.685759445,42.394413213,"33602218",,,,,7.60,8.04,21.40,19.60,"217",33.30,2.10,346.40,B13,U111,ES,ES2,ES22,ES220,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.696256614,42.447867394,"33602224",,,,,7.50,8.03,17.16,15.80,"377",29.50,1.60,216.60,F40,U111,ES,ES2,ES22,ES220,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
-1.71029201,42.519133073,"33602232",,,,,7.60,8.12,22.20,17.50,"307",17.30,1.70,82.10,B16,U111,ES,ES2,ES22,ES220,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-1.759771144,42.768504112,"33602260",,,,,7.50,8.09,17.21,20.30,"215",15.60,1.30,246.70,B31,U111,ES,ES2,ES22,ES220,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
-1.813405182,43.035586348,"33602290",,,,,4.50,4.78,44.10,47.00,"0",23.30,4.30,61.30,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
-3.151854378,48.780293661,"33602938",,,,,6.60,6.84,11.37,12.50,"0",40.10,1.60,125.10,B16,U111,FR,FRH,FRH0,FRH01,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-3.166086538,48.833276982,"33602944",,,,,5.70,6.06,25.40,11.30,"0",56.60,1.50,244.80,B13,U111,FR,FRH,FRH0,FRH01,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-0.939158133,38.357486872,"33621766",,,,,7.50,8.14,17.65,8.80,"812",27.80,1.20,133.90,B74,U111,ES,ES5,ES52,ES521,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
-1.155861322,39.647258027,"33621910","42","23","28","49",7.20,7.69,18.34,53.90,"356",0.00,3.60,218.60,C22,U420,ES,ES5,ES52,ES523,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use
-1.224480843,40.040823288,"33621954","18","30","22","48",7.50,8.01,17.73,28.20,"427",0.00,1.30,168.80,C22,U120,ES,ES5,ES52,ES523,Woodland,Pine dominated coniferous woodland,Forestry
-1.275119805,40.326899528,"33621986","51","28","32","40",7.60,7.95,25.40,14.50,"485",14.50,1.50,170.40,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.30388023,40.487761272,"33622004","40","17","51","32",7.70,8.09,19.51,21.30,"667",6.70,1.10,96.30,D20,U111,ES,ES2,ES24,ES242,Shrubland,Shrubland without tree cover,Agriculture (excluding fallow land and kitchen gardens)
-1.326388373,40.612848179,"33622018",,,,,7.60,7.87,128.90,22.00,"247",21.80,2.10,295.00,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.467375238,41.380711563,"33622104","40","22","46","32",6.80,6.94,26.00,16.30,"1",50.60,1.90,440.40,B72,U111,ES,ES2,ES24,ES243,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
-1.589123399,42.022886659,"33622176","19","28","27","45",7.40,7.57,89.80,8.20,"452",59.20,2.00,862.50,B43,U111,ES,ES2,ES22,ES220,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
-1.746282738,42.824743534,"33622266",,,,,7.00,7.30,26.80,11.90,"5",20.70,1.50,238.50,B54,U111,ES,ES2,ES22,ES220,Cropland,Mix of cereals,Agriculture (excluding fallow land and kitchen gardens)
